Month,Weekday,Time,Bermuda,Lot 7,Lot 13,E. Troy,Lot 10,Lot 3,W. Nine Mile,Lot 8,NB Woodward,Vester,Lot 11,Lot 1,Lot 15,Lot 2,Lot 4,E. Nine Mile,Lot 9,SB Woodward,W. Troy,Withington,W. Saratoga,E. Breckenridge,Planavon,E. Saratoga,Ardmoor,24_Time,dayNum
3,Wednesday,3am,0.0,0.007836990595611285,0.016798418972332016,0.005050505050505051,0.0066844919786096255,0.0028911018310311598,0.0010449320794148381,0.006993006993006992,0.0,0.003246753246753247,0.0014204545454545453,0.0,0.004288164665523156,0.0,0.010227272727272727,0.0016835016835016836,0.003787878787878788,0.0033670033670033673,0.00909090909090909,0.0038961038961038957,0.0,0.0,0.0,0.0,0.0,3,2
3,Thursday,3am,0.0,0.0109717868338558,0.026976284584980238,0.005050505050505051,0.007352941176470588,0.00530035335689046,0.001567398119122257,0.02331002331002331,0.0,0.00974025974025974,0.004261363636363637,0.0005165289256198347,0.00686106346483705,0.0023923444976076554,0.003409090909090909,0.0,0.003787878787878788,0.0,0.0,0.00406926406926407,0.0,0.0,0.0,0.0,0.0,3,3
3,Friday,3am,0.0,0.0047021943573667705,0.015810276679841896,0.022727272727272728,0.008689839572192513,0.005460970125281079,0.0020898641588296763,0.022144522144522144,0.0008627946127946129,0.00974025974025974,0.0014204545454545453,0.001549586776859504,0.01457975986277873,0.0023923444976076554,0.005681818181818182,0.0,0.00946969696969697,0.0,0.00909090909090909,0.006493506493506493,0.0,0.0,0.0,0.0,0.0,3,4
3,Saturday,3am,0.0,0.018062397372742203,0.034161490683229816,0.031746031746031744,0.03399859943977591,0.02237926972909305,0.005008210180623974,0.03907203907203907,0.0,0.04081632653061224,0.02281746031746032,0.005411255411255411,0.03863432165318957,0.011278195488721804,0.04523809523809524,0.005291005291005291,0.027777777777777776,0.0,0.009523809523809523,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,3,5
3,Sunday,3am,0.0,0.031198686371100164,0.03312629399585921,0.023809523809523808,0.030112044817927168,0.023579561388748664,0.0049261083743842365,0.03907203907203907,0.0,0.030612244897959183,0.01984126984126984,0.0091991341991342,0.029649595687331536,0.017543859649122806,0.039285714285714285,0.012345679012345678,0.010912698412698414,0.0,0.0,0.01834467120181406,0.0,0.0,0.005291005291005291,0.0,0.0,3,6
3,Monday,4am,0.0,0.05424192665571976,0.06935817805383024,0.05291005291005291,0.07212885154061625,0.07707667283639015,0.0120415982484948,0.08669108669108669,0.0,0.08163265306122448,0.024305555555555556,0.01948051948051948,0.09703504043126686,0.042606516290726815,0.11597222222222223,0.014109347442680775,0.026785714285714288,0.001763668430335097,0.019047619047619046,0.03537414965986395,0.0,0.0,0.005291005291005291,0.0,0.0,4,0
3,Tuesday,4am,0.0,0.006269592476489028,0.01383399209486166,0.0,0.0026737967914438505,0.0027304850626405394,0.0010449320794148381,0.004662004662004662,0.0,0.0,0.0004734848484848485,0.0,0.0017152658662092624,0.0,0.003409090909090909,0.0016835016835016836,0.003787878787878788,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,4,1
3,Wednesday,4am,0.0,0.007836990595611285,0.016798418972332016,0.005050505050505051,0.0066844919786096255,0.0028911018310311598,0.0010449320794148381,0.006993006993006992,0.0,0.003246753246753247,0.0014204545454545453,0.0,0.004288164665523156,0.0,0.010227272727272727,0.0016835016835016836,0.003787878787878788,0.0033670033670033673,0.00909090909090909,0.0038961038961038957,0.0,0.0,0.0,0.0,0.0,4,2
3,Thursday,4am,0.0,0.0109717868338558,0.02766798418972332,0.005050505050505051,0.007352941176470588,0.00530035335689046,0.001567398119122257,0.02331002331002331,0.0,0.00974025974025974,0.004261363636363637,0.0005165289256198347,0.00686106346483705,0.0023923444976076554,0.003409090909090909,0.0,0.003787878787878788,0.0,0.0,0.0038961038961038957,0.0,0.0,0.0,0.0,0.0,4,3
3,Friday,4am,0.0,0.0047021943573667705,0.015810276679841896,0.022727272727272728,0.008689839572192513,0.005460970125281079,0.0020898641588296763,0.022144522144522144,0.0,0.00974025974025974,0.0014204545454545453,0.001549586776859504,0.01457975986277873,0.0023923444976076554,0.005681818181818182,0.0,0.00946969696969697,0.0,0.00909090909090909,0.006493506493506493,0.0,0.0,0.0,0.0,0.0,4,4
3,Saturday,4am,0.0,0.018062397372742203,0.034161490683229816,0.031746031746031744,0.03361344537815126,0.02237926972909305,0.0049261083743842365,0.03907203907203907,0.0,0.04081632653061224,0.02281746031746032,0.005411255411255411,0.03863432165318957,0.011278195488721804,0.04523809523809524,0.005291005291005291,0.027777777777777776,0.0,0.009523809523809523,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,4,5
3,Sunday,4am,0.0,0.031198686371100164,0.03312629399585921,0.023809523809523808,0.030112044817927168,0.023557126030624265,0.0049261083743842365,0.03907203907203907,0.0,0.030612244897959183,0.01984126984126984,0.0091991341991342,0.029215333932315065,0.017543859649122806,0.039285714285714285,0.012345679012345678,0.010912698412698414,0.0,0.0,0.017369614512471657,0.0,0.0,0.005291005291005291,0.0,0.0,4,6
3,Monday,5am,0.0,0.0541871921182266,0.06935817805383024,0.05291005291005291,0.07212885154061625,0.07723372034326098,0.0120415982484948,0.08603988603988603,0.0,0.08163265306122448,0.024305555555555556,0.01948051948051948,0.09703504043126686,0.042606516290726815,0.11547619047619047,0.014109347442680775,0.026785714285714288,0.001763668430335097,0.019047619047619046,0.03537414965986395,0.0,0.0,0.005291005291005291,0.0,0.0,5,0
3,Tuesday,5am,0.0,0.006269592476489028,0.01383399209486166,0.0,0.0026737967914438505,0.002909840454010065,0.0010449320794148381,0.004662004662004662,0.0,0.0,0.0004734848484848485,0.0,0.0017152658662092624,0.0,0.003409090909090909,0.0016835016835016836,0.003787878787878788,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,5,1
3,Wednesday,5am,0.0,0.007836990595611285,0.016831357048748354,0.005050505050505051,0.0066844919786096255,0.0028911018310311598,0.0010449320794148381,0.006993006993006992,0.0,0.003246753246753247,0.0014204545454545453,0.0,0.004288164665523156,0.0,0.010227272727272727,0.0016835016835016836,0.003787878787878788,0.0033670033670033673,0.00909090909090909,0.004653679653679654,0.0,0.0,0.0,0.0,0.0,5,2
3,Thursday,5am,0.0,0.0109717868338558,0.02766798418972332,0.005050505050505051,0.007352941176470588,0.005324445872149052,0.001567398119122257,0.02331002331002331,0.0,0.00974025974025974,0.004261363636363637,0.0005165289256198347,0.00686106346483705,0.0023923444976076554,0.003409090909090909,0.0,0.003787878787878788,0.0,0.0,0.0038961038961038957,0.0,0.0,0.0,0.0,0.0,5,3
3,Friday,5am,0.0,0.0047021943573667705,0.015810276679841896,0.022727272727272728,0.008689839572192513,0.005460970125281079,0.002281435040055729,0.022222222222222223,0.0,0.00974025974025974,0.0014204545454545453,0.001549586776859504,0.01457975986277873,0.0023923444976076554,0.005681818181818182,0.0,0.00946969696969697,0.0,0.00909090909090909,0.006493506493506493,0.0,0.0,0.0,0.0,0.0,5,4
